1024 	 1048576 	 4000 	 4709 
512 	 115717 	 2500 	 486 
512 	 115666 	 2926 	 2834 
256 	 115666 	 6122 	 2996 
256 	 20968 	 1294 	 797 
32 	 20968 	 4547 	 856 
32 	 3652 	 1834 	 571 
16 	 3652 	 978 	 276 
16 	 1274 	 763 	 377 
8 	 1274 	 461 	 210 
8 	 563 	 273 	 175 
4 	 563 	 191 	 90 
4 	 120 	 30 	 52 
2 	 468 	 281 	 216 
2 	 280 	 83 	 107 
1 	 280 	 179 	 190 
1 	 190 	 50 	 83 
1 	 244 	 138 	 196 
1 	 140 	 72 	 113 
4 	 912 	 490 	 387 
4 	 542 	 228 	 207 
2 	 542 	 343 	 328 
2 	 368 	 136 	 175 
1 	 368 	 223 	 263 
1 	 236 	 104 	 152 
1 	 286 	 208 	 242 
1 	 212 	 115 	 154 
2 	 551 	 301 	 326 
2 	 307 	 103 	 146 
1 	 307 	 207 	 242 
1 	 208 	 108 	 136 
1 	 343 	 190 	 211 
1 	 192 	 110 	 118 
8 	 3158 	 2124 	 707 
8 	 1866 	 425 	 380 
4 	 1866 	 1166 	 549 
4 	 1142 	 165 	 222 
2 	 1142 	 625 	 424 
2 	 622 	 134 	 210 
1 	 622 	 309 	 295 
1 	 311 	 133 	 172 
1 	 652 	 421 	 330 
1 	 416 	 135 	 169 
2 	 884 	 544 	 481 
2 	 550 	 184 	 209 
1 	 550 	 362 	 355 
1 	 374 	 167 	 196 
1 	 509 	 333 	 317 
1 	 347 	 182 	 185 
4 	 1641 	 876 	 647 
4 	 859 	 294 	 283 
2 	 859 	 509 	 479 
2 	 543 	 219 	 219 
1 	 543 	 377 	 367 
1 	 391 	 216 	 207 
1 	 522 	 342 	 325 
1 	 356 	 205 	 215 
2 	 1048 	 586 	 574 
2 	 615 	 280 	 265 
1 	 615 	 423 	 382 
1 	 441 	 238 	 201 
1 	 707 	 455 	 442 
1 	 456 	 292 	 278 
16 	 19227 	 6905 	 1384 
16 	 3948 	 1961 	 694 
8 	 3948 	 2256 	 971 
8 	 1800 	 689 	 420 
4 	 1800 	 1047 	 766 
4 	 1030 	 349 	 360 
2 	 1030 	 635 	 535 
2 	 650 	 312 	 285 
1 	 650 	 476 	 410 
1 	 480 	 292 	 255 
1 	 697 	 470 	 397 
1 	 481 	 311 	 266 
2 	 1103 	 656 	 532 
2 	 659 	 334 	 265 
1 	 659 	 474 	 383 
1 	 483 	 317 	 245 
1 	 779 	 575 	 425 
1 	 586 	 346 	 280 
4 	 2674 	 1641 	 820 
4 	 1348 	 418 	 365 
2 	 1348 	 746 	 553 
2 	 762 	 372 	 275 
1 	 762 	 531 	 389 
1 	 543 	 356 	 235 
1 	 961 	 686 	 475 
1 	 707 	 367 	 283 
2 	 1722 	 965 	 685 
2 	 975 	 398 	 339 
1 	 975 	 653 	 471 
1 	 660 	 387 	 275 
1 	 1152 	 773 	 548 
1 	 788 	 405 	 325 
8 	 16360 	 6933 	 1742 
8 	 5255 	 1374 	 845 
4 	 5255 	 3328 	 1179 
4 	 2348 	 586 	 520 
2 	 2348 	 1325 	 864 
2 	 1328 	 459 	 388 
1 	 1328 	 836 	 563 
1 	 840 	 453 	 345 
1 	 1485 	 901 	 627 
1 	 914 	 465 	 390 
2 	 3485 	 1876 	 1152 
2 	 1882 	 619 	 549 
1 	 1882 	 1213 	 826 
1 	 1192 	 549 	 470 
1 	 2178 	 1320 	 865 
1 	 1343 	 602 	 491 
4 	 12090 	 6558 	 2375 
4 	 5775 	 1106 	 1038 
2 	 5775 	 3709 	 1747 
2 	 2911 	 755 	 736 
1 	 2911 	 1663 	 1179 
1 	 1600 	 637 	 636 
1 	 3618 	 2259 	 1388 
1 	 2114 	 723 	 731 
2 	 7317 	 4538 	 2244 
2 	 3898 	 929 	 1007 
1 	 3898 	 2607 	 1715 
1 	 2448 	 821 	 888 
1 	 4362 	 2614 	 1764 
1 	 2467 	 890 	 932 
128 	 114151 	 6926 	 5086 
128 	 99909 	 2482 	 3113 
64 	 99909 	 6712 	 4085 
64 	 70857 	 2425 	 2505 
32 	 70857 	 5882 	 2382 
32 	 32830 	 1485 	 1345 
16 	 32830 	 7190 	 2383 
16 	 22717 	 2645 	 1431 
8 	 22717 	 10577 	 2794 
8 	 14052 	 2949 	 1385 
4 	 14052 	 6954 	 2278 
4 	 7080 	 1480 	 1017 
2 	 7080 	 4120 	 2142 
2 	 4003 	 1203 	 993 
1 	 4003 	 2673 	 1769 
1 	 2604 	 971 	 871 
1 	 4050 	 2504 	 1697 
1 	 2493 	 1020 	 901 
2 	 7969 	 4279 	 2251 
2 	 4220 	 1275 	 1069 
1 	 4220 	 2663 	 1738 
1 	 2665 	 1141 	 898 
1 	 4779 	 2905 	 1982 
1 	 2954 	 1130 	 1012 
4 	 10331 	 6193 	 2326 
4 	 6190 	 1369 	 1069 
2 	 6190 	 3704 	 2083 
2 	 3545 	 1050 	 951 
1 	 3545 	 2238 	 1615 
1 	 2336 	 967 	 920 
1 	 3730 	 2328 	 1552 
1 	 2449 	 921 	 865 
2 	 5345 	 3136 	 1951 
2 	 3340 	 1005 	 968 
1 	 3340 	 1937 	 1479 
1 	 2195 	 909 	 804 
1 	 3148 	 1994 	 1486 
1 	 2226 	 943 	 853 
8 	 13045 	 3946 	 1843 
8 	 6762 	 1221 	 882 
4 	 6762 	 3856 	 1827 
4 	 4032 	 1006 	 860 
2 	 4032 	 2481 	 1411 
2 	 2694 	 901 	 699 
1 	 2694 	 1730 	 1142 
1 	 1881 	 880 	 631 
1 	 2370 	 1513 	 1045 
1 	 1671 	 839 	 586 
2 	 3768 	 2041 	 1378 
2 	 2346 	 825 	 639 
1 	 2346 	 1462 	 1021 
1 	 1637 	 771 	 573 
1 	 2359 	 1530 	 974 
1 	 1713 	 746 	 565 
4 	 7362 	 2544 	 1633 
4 	 3664 	 964 	 818 
2 	 3664 	 1748 	 1347 
2 	 2246 	 793 	 725 
1 	 2246 	 1329 	 1067 
1 	 1536 	 743 	 584 
1 	 2249 	 1270 	 1025 
1 	 1565 	 724 	 591 
2 	 4623 	 1882 	 1554 
2 	 2555 	 834 	 741 
1 	 2555 	 1385 	 1142 
1 	 1662 	 732 	 638 
1 	 2967 	 1566 	 1297 
1 	 1855 	 788 	 695 
16 	 42047 	 3760 	 3018 
16 	 22998 	 2501 	 1703 
8 	 22998 	 3353 	 2060 
8 	 11166 	 1109 	 1026 
4 	 11166 	 2838 	 1909 
4 	 6273 	 840 	 928 
2 	 6273 	 2548 	 1757 
2 	 3711 	 914 	 845 
1 	 3711 	 2047 	 1435 
1 	 2370 	 875 	 720 
1 	 3535 	 1907 	 1397 
1 	 2231 	 795 	 775 
2 	 5926 	 2136 	 1649 
2 	 3452 	 840 	 802 
1 	 3452 	 1818 	 1334 
1 	 2219 	 754 	 702 
1 	 3438 	 1945 	 1298 
1 	 2198 	 868 	 717 
4 	 13228 	 2855 	 2008 
4 	 6944 	 1022 	 924 
2 	 6944 	 2735 	 1788 
2 	 4307 	 880 	 884 
1 	 4307 	 2684 	 1410 
1 	 2471 	 818 	 771 
1 	 3731 	 1998 	 1412 
1 	 2499 	 848 	 754 
2 	 7494 	 3197 	 1918 
2 	 3877 	 1105 	 1008 
1 	 3877 	 2116 	 1481 
1 	 2524 	 1012 	 777 
1 	 4902 	 2715 	 1922 
1 	 3087 	 1195 	 977 
8 	 21328 	 3848 	 3028 
8 	 11415 	 1640 	 1283 
4 	 11415 	 3521 	 2664 
4 	 6819 	 1553 	 1192 
2 	 6819 	 3094 	 2235 
2 	 4186 	 1402 	 1014 
1 	 4186 	 2323 	 1788 
1 	 2863 	 1210 	 948 
1 	 4097 	 2206 	 1813 
1 	 2862 	 1278 	 995 
2 	 6131 	 2772 	 2254 
2 	 3919 	 1377 	 1046 
1 	 3919 	 2168 	 1820 
1 	 2705 	 1300 	 918 
1 	 3775 	 2132 	 1811 
1 	 2736 	 1335 	 994 
4 	 11603 	 3343 	 2917 
4 	 6141 	 1540 	 1282 
2 	 6141 	 2760 	 2331 
2 	 3865 	 1454 	 1092 
1 	 3865 	 2227 	 1823 
1 	 2659 	 1377 	 893 
1 	 3993 	 2211 	 1921 
1 	 2850 	 1409 	 934 
2 	 7303 	 2966 	 2681 
2 	 4422 	 1604 	 1162 
1 	 4422 	 2325 	 1981 
1 	 3034 	 1461 	 1051 
1 	 4819 	 2613 	 2118 
1 	 3497 	 1593 	 1106 
32 	 55819 	 4484 	 4751 
