1024 	 1048576 	 11773 	 5144 
256 	 176811 	 11457 	 2498 
256 	 167854 	 9555 	 4727 
128 	 167854 	 3324 	 1313 
128 	 13058 	 1853 	 1111 
16 	 13058 	 1817 	 661 
16 	 3116 	 750 	 336 
8 	 3116 	 536 	 170 
8 	 451 	 390 	 120 
2 	 451 	 6 	 25 
2 	 6 	 5 	 10 
1 	 450 	 200 	 125 
1 	 200 	 55 	 76 
4 	 2733 	 1162 	 622 
4 	 1376 	 677 	 400 
2 	 1376 	 583 	 435 
2 	 627 	 235 	 252 
1 	 627 	 284 	 286 
1 	 309 	 117 	 175 
1 	 879 	 472 	 515 
1 	 486 	 204 	 311 
2 	 1581 	 839 	 668 
2 	 1047 	 406 	 402 
1 	 1047 	 606 	 567 
1 	 694 	 312 	 354 
1 	 756 	 488 	 466 
1 	 495 	 271 	 280 
8 	 10237 	 2868 	 1033 
8 	 5111 	 1062 	 569 
4 	 5111 	 2231 	 850 
4 	 2819 	 823 	 487 
2 	 2819 	 1420 	 669 
2 	 1636 	 536 	 424 
1 	 1636 	 827 	 530 
1 	 726 	 322 	 362 
1 	 1546 	 947 	 703 
1 	 994 	 443 	 431 
2 	 2691 	 1524 	 845 
2 	 1484 	 623 	 484 
1 	 1484 	 899 	 699 
1 	 912 	 424 	 416 
1 	 1613 	 955 	 732 
1 	 978 	 438 	 447 
4 	 5573 	 2686 	 1073 
4 	 3108 	 930 	 525 
2 	 3108 	 1734 	 893 
2 	 1804 	 739 	 462 
1 	 1804 	 1010 	 705 
1 	 1013 	 486 	 408 
1 	 1782 	 1163 	 725 
1 	 1170 	 529 	 432 
2 	 2999 	 1757 	 878 
2 	 2002 	 844 	 485 
1 	 2002 	 1227 	 776 
1 	 1393 	 649 	 459 
1 	 1584 	 1055 	 679 
1 	 1070 	 650 	 403 
64 	 160535 	 5179 	 3171 
64 	 60504 	 3946 	 2018 
32 	 60504 	 6245 	 2631 
32 	 31140 	 2629 	 1425 
16 	 31140 	 5793 	 1725 
16 	 7119 	 1544 	 947 
8 	 7119 	 3048 	 1222 
8 	 3870 	 1364 	 684 
4 	 3870 	 1964 	 1016 
4 	 2359 	 939 	 511 
2 	 2359 	 1382 	 815 
2 	 1477 	 770 	 417 
1 	 1477 	 1038 	 663 
1 	 1063 	 680 	 350 
1 	 1536 	 1038 	 692 
1 	 1096 	 713 	 377 
2 	 2244 	 1269 	 876 
2 	 1444 	 791 	 433 
1 	 1444 	 1010 	 634 
1 	 1058 	 719 	 363 
1 	 1507 	 1040 	 670 
1 	 1071 	 739 	 399 
4 	 4190 	 2238 	 1224 
4 	 2325 	 1051 	 678 
2 	 2325 	 1410 	 989 
2 	 1457 	 809 	 503 
1 	 1457 	 1066 	 674 
1 	 1085 	 717 	 412 
1 	 1575 	 1103 	 746 
1 	 1103 	 740 	 425 
2 	 2651 	 1431 	 1019 
2 	 1465 	 794 	 538 
1 	 1465 	 1069 	 713 
1 	 1098 	 728 	 480 
1 	 1939 	 1155 	 832 
1 	 1177 	 750 	 517 
8 	 25684 	 6713 	 2670 
8 	 12516 	 1774 	 1284 
4 	 12516 	 4803 	 2296 
4 	 6234 	 1804 	 1076 
2 	 6234 	 2904 	 1774 
2 	 3282 	 1388 	 876 
1 	 3282 	 1789 	 1321 
1 	 1949 	 1045 	 726 
1 	 3906 	 2322 	 1757 
1 	 2447 	 1050 	 823 
